PV;Wind Binnenland;Wind Coast;Wind Offshore
0;0.458345;0.285779;0.324106
0;0.390767;0.229041;0.33225
0;0.440115;0.190875;0.335061
0;0.422727;0.173082;0.338709
0.007;0.446353;0.160573;0.369484
0.018;0.369291;0.15197;0.38865
0.034;0.32969;0.151493;0.391546
0.069;0.322003;0.154754;0.428674
0.098;0.307318;0.160345;0.542578
0.095;0.323479;0.183619;0.624838
0.05;0.351791;0.243893;0.717719
0.004;0.418416;0.287317;0.77458
0;0.446179;0.336864;0.787577
0;0.483759;0.400839;0.804299
0;0.484663;0.422937;0.816192
0;0.469409;0.415119;0.787678
0;0.493703;0.398956;0.805845
0;0.502474;0.35097;0.82625
0;0.533819;0.414553;0.884271
0;0.590204;0.473199;0.892982
0;0.605297;0.487857;0.878069
0;0.627715;0.491959;0.883063
0;0.660024;0.461338;0.89537
0;0.624846;0.436637;0.884017
0;0.580132;0.425057;0.823049
0;0.52216;0.408243;0.787222
0;0.515374;0.414246;0.766124
0.012;0.485148;0.393617;0.718179
0.087;0.42975;0.374943;0.675912
0.148;0.427396;0.363322;0.650775
0.111;0.430167;0.349792;0.59327
0.074;0.341318;0.349123;0.492365
0.052;0.336861;0.341304;0.416465
0.03;0.286949;0.336982;0.385549
0.011;0.267838;0.316002;0.402468
0;0.294647;0.289399;0.435069
0;0.346803;0.25876;0.441009
0;0.353478;0.24634;0.438108
0;0.304336;0.249857;0.443148
0;0.276377;0.261808;0.454436
0;0.324001;0.263619;0.459623
0;0.350778;0.253954;0.45441
0;0.385457;0.233695;0.436946
0;0.414551;0.2108;0.410564
0;0.461565;0.185072;0.330784
0;0.518431;0.176109;0.239389
0;0.549819;0.202033;0.149646
0;0.543485;0.175479;0.061513
0;0.552121;0.166575;0.017139
0;0.537046;0.150039;0.034794
0;0.507887;0.097369;0.16895
0;0.475881;0.045968;0.498965
0.01;0.46463;0.013433;0.757475
0.017;0.550853;0.004971;0.861287
0.03;0.544337;0.017795;0.905992
0.033;0.539001;0.05512;0.907856
0.03;0.536984;0.133121;0.904508
0.025;0.539181;0.249846;0.901096
0.017;0.520479;0.364956;0.885838
0.002;0.466649;0.424126;0.875901
0;0.414009;0.404048;0.86232
0;0.376708;0.376526;0.832105
0;0.31725;0.334302;0.791516
0;0.299616;0.302289;0.745598
0;0.287321;0.296797;0.710021
0;0.257847;0.285269;0.675915
0;0.213697;0.261838;0.637922
0;0.186734;0.249718;0.610868
0;0.188847;0.246122;0.592548
0;0.184705;0.244643;0.55518
